지점,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상(null),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형(null),2층 운형(null),3층 운형(null),4층 운형(null),1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
113,2010-01-01 0:00,10,5,,10000,,,,,,,,,,,,,,-9.6,-16.7,1024.3,1023.3,
113,2010-01-01 1:00,10,5,,10000,,,,,,,,,,,,,,-10.4,-16.8,1024,1023,
113,2010-01-01 2:00,50,5,,10000,,,,,,,,,,,,,,-10.8,-16.7,1024.1,1023.2,
113,2010-01-01 3:00,110,3,,10000,,,,,,,,,,,,,,-11.4,-17.5,1024.3,1023.4,
113,2010-01-01 4:00,100,3,,10000,,,,,,,,,,,,,,-11.4,-18.6,1024,1023,
113,2010-01-01 5:00,110,5,,10000,,,,,,,,,,,,,,-11.2,-19.1,1023.7,1022.8,
113,2010-01-01 6:00,70,3,,10000,,,,,,,,,,,,,,-11.4,-19.4,1023.5,1022.6,
113,2010-01-01 7:00,40,5,,10000,,,,,,,,,,,,,,-10.7,-20.4,1023.5,1022.6,
113,2010-01-01 8:00,90,4,,10000,,,,,,,,,,,,,,-11.3,-17.2,1023.3,1022.3,
113,2010-01-01 9:00,50,3,,10000,,,,,,,,,,,,,,-9.8,-17.9,1023.5,1022.6,
113,2010-01-01 10:00,120,5,,10000,,3,5,,,6,3,,,3000,15000,,,-7.8,-18.8,1023.8,1022.8,
113,2010-01-01 11:00,120,5,,10000,,1,4,6,,7,6,3,,1500,2500,13000,,-7,-17.4,1023.5,1022.6,
113,2010-01-01 12:00,140,6,,10000,,,,,,,,,,,,,,-6.1,-15.4,1022.3,1021.4,
113,2010-01-01 13:00,140,5,,10000,,,,,,,,,,,,,,-5.4,-15.7,1021.5,1020.6,
113,2010-01-01 14:00,160,4,,10000,,,,,,,,,,,,,,-4.8,-15.3,1021.2,1020.3,
113,2010-01-01 15:00,150,5,,10000,,,,,,,,,,,,,,-4.2,-14.4,1020.9,1020,
113,2010-01-01 16:00,140,6,,10000,,,,,,,,,,,,,,-4,-13.6,1020.6,1019.7,
113,2010-01-01 17:00,120,5,,10000,,,,,,,,,,,,,,-3.7,-11.8,1020.3,1019.4,
113,2010-01-01 18:00,110,5,,10000,,4,,,,6,,,,3000,,,,-3.9,-10.5,1020.2,1019.3,
113,2010-01-01 19:00,110,5,,10000,,6,,,,6,,,,3000,,,,-3,-10.9,1020,1019.1,
113,2010-01-01 20:00,110,6,,10000,,6,,,,6,,,,2300,,,,-2.9,-9.9,1019.5,1018.6,
113,2010-01-01 21:00,110,8,,10000,,6,,,,6,,,,2500,,,,-2.5,-8.8,1019,1018.1,
113,2010-01-01 22:00,120,8,,10000,,1,5,,,7,6,,,1500,2500,,,-2.1,-8.5,1019.2,1018.3,
113,2010-01-01 23:00,120,7,,10000,,5,7,,,6,4,,,2500,10000,,,-1.7,-8.3,1018.9,1018,
113,2010-01-02 0:00,120,7,,10000,,5,8,,,6,4,,,2300,9000,,,-1.9,-8.2,1018.8,1017.9,
113,2010-01-02 1:00,130,8,,10000,,5,8,,,6,4,,,2200,9000,,,-2,-8.1,1018.2,1017.3,
113,2010-01-02 2:00,140,11,,10000,,5,8,,,6,4,,,2500,8000,,,-1.6,-7.4,1017.8,1016.9,
113,2010-01-02 3:00,140,12,,10000,,5,7,,,6,4,,,2500,8000,,,-1.3,-6.6,1017.3,1016.4,
113,2010-01-02 4:00,140,12,,10000,,5,8,,,6,4,,,2500,8000,,,-1.4,-6.3,1016.2,1015.3,
113,2010-01-02 5:00,140,11,,10000,,5,8,,,6,4,,,2500,8000,,,-0.9,-6.1,1015.3,1014.4,
113,2010-01-02 6:00,140,10,,10000,,5,8,,,6,4,,,2500,8000,,,-0.9,-5.8,1014.7,1013.8,
113,2010-01-02 7:00,90,6,,6000,70,1,6,8,,7,6,4,,1200,2500,8000,,-0.7,-5.8,1014.7,1013.8,0
113,2010-01-02 8:00,50,13,,1500,71,2,6,8,,7,6,5,,600,2500,7000,,-3.2,-4.6,1014.3,1013.4,0.3
113,2010-01-02 9:00,50,15,,3500,71,2,5,8,,7,6,5,,1500,2500,7000,,-3.3,-4.9,1015,1014.1,0
113,2010-01-02 10:00,40,13,,3500,10,2,5,8,,7,6,5,,1500,2500,7000,,-3,-4.9,1015.4,1014.5,0
113,2010-01-02 11:00,40,10,,3300,10,2,5,8,,7,6,4,,1500,2500,8000,,-2.2,-4.2,1015.9,1015,
113,2010-01-02 12:00,40,11,,4000,10,5,8,,,6,4,,,2000,8000,,,-1.7,-3.7,1015.2,1014.3,
113,2010-01-02 13:00,10,6,,6000,10,2,6,,,6,3,,,2500,11000,,,-0.1,-2.9,1015,1014.1,
113,2010-01-02 14:00,320,11,,8000,10,2,6,,,6,3,,,3000,12000,,,0.3,-2.9,1015.1,1014.2,
113,2010-01-02 15:00,320,11,,8000,10,2,6,,,6,3,,,3000,12000,,,-0.1,-3.9,1015.6,1014.8,
113,2010-01-02 16:00,320,10,,8000,5,1,3,,,6,3,,,3000,13000,,,-0.1,-4.5,1016.4,1015.5,
113,2010-01-02 17:00,320,13,,8000,5,1,,,,6,,,,3000,,,,-1.1,-6,1017.4,1016.5,
113,2010-01-02 18:00,320,11,,8000,5,1,,,,6,,,,3000,,,,-1.9,-6.8,1018.1,1017.2,
113,2010-01-02 19:00,320,14,,8000,5,1,,,,6,,,,3000,,,,-2.1,-6.1,1018.9,1018,
113,2010-01-02 20:00,320,17,,8000,5,1,,,,6,,,,3000,,,,-2.9,-8.1,1019.4,1018.5,
113,2010-01-02 21:00,330,16,,8000,5,1,,,,6,,,,3000,,,,-4.1,-9.1,1020.3,1019.3,
113,2010-01-02 22:00,330,15,,8000,5,1,,,,6,,,,3000,,,,-5,-10.5,1020.8,1019.9,
113,2010-01-02 23:00,330,14,,8000,5,1,,,,6,,,,3000,,,,-5.7,-10.5,1021.4,1020.5,
113,2010-01-03 0:00,330,15,,8000,5,1,,,,6,,,,3000,,,,-6.3,-10.7,1021.7,1020.8,
113,2010-01-03 1:00,320,14,,10000,,,,,,,,,,,,,,-6.3,-11.6,1021.7,1020.8,
113,2010-01-03 2:00,340,12,,10000,,,,,,,,,,,,,,-6.8,-12,1022,1021.1,
113,2010-01-03 3:00,330,10,,10000,,,,,,,,,,,,,,-7.1,-11.9,1022.5,1021.6,
113,2010-01-03 4:00,350,10,,10000,,1,,,,6,,,,2500,,,,-7.7,-12.4,1022.2,1021.3,
113,2010-01-03 5:00,340,8,,10000,,1,,,,6,,,,2500,,,,-8.2,-12.2,1022.2,1021.2,
113,2010-01-03 6:00,310,10,,10000,,1,,,,6,,,,2500,,,,-7.9,-13.1,1022.3,1021.4,
113,2010-01-03 7:00,320,10,,10000,,,,,,,,,,,,,,-8.1,-13.1,1023.3,1022.4,
113,2010-01-03 8:00,330,10,,10000,,,,,,,,,,,,,,-8.5,-13.7,1023.1,1022.2,
113,2010-01-03 9:00,360,7,,10000,,,,,,,,,,,,,,-7.8,-14.2,1023.5,1022.6,
113,2010-01-03 10:00,340,7,,10000,,2,,,,0,,,,18000,,,,-7,-15.3,1023.9,1022.9,
113,2010-01-03 11:00,360,4,,10000,,,,,,,,,,,,,,-6.5,-17,1024.2,1023.3,
113,2010-01-03 12:00,60,4,,10000,,,,,,,,,,,,,,-5.5,-16.6,1023.2,1022.3,
113,2010-01-03 13:00,270,2,,10000,,,,,,,,,,,,,,-5,-17.3,1022.9,1022,
113,2010-01-03 14:00,300,5,,10000,,,,,,,,,,,,,,-4,-16,1022.1,1021.2,
113,2010-01-03 15:00,320,2,,10000,,,,,,,,,,,,,,-4,-15.1,1021.4,1020.5,
113,2010-01-03 16:00,300,3,,10000,,,,,,,,,,,,,,-4.4,-16,1021.4,1020.5,
113,2010-01-03 17:00,330,4,,10000,,3,,,,3,,,,12000,,,,-4.9,-14.3,1021.6,1020.7,
113,2010-01-03 18:00,340,2,,10000,,3,,,,3,,,,12000,,,,-5.1,-14.2,1021.5,1020.6,
113,2010-01-03 19:00,40,2,,10000,,2,6,,,6,3,,,3000,12000,,,-5,-12.9,1021.6,1020.7,
113,2010-01-03 20:00,80,4,,10000,,4,6,,,6,3,,,4000,12000,,,-4.9,-14.4,1021.4,1020.5,
113,2010-01-03 21:00,50,7,,10000,,3,6,,,6,3,,,4000,12000,,,-5.2,-12.5,1021.4,1020.5,
113,2010-01-03 22:00,60,5,,10000,,4,7,,,6,4,,,3000,10000,,,-5.3,-13.4,1020.7,1019.7,
113,2010-01-03 23:00,50,4,,10000,,1,4,7,,7,6,4,,1500,2500,10000,,-5.1,-12.8,1021,1020.1,
113,2010-01-04 0:00,20,2,,6000,70,2,5,8,,7,6,4,,1000,2500,10000,,-5.5,-10.6,1021.2,1020.3,0
113,2010-01-04 1:00,70,4,,1600,73,2,5,8,,7,6,5,,400,2000,7000,,-6.5,-8.1,1020.3,1019.3,0.6
113,2010-01-04 2:00,80,6,,3000,70,2,5,8,,7,6,4,,1000,2000,8000,,-6.8,-8.6,1018.8,1017.8,0
113,2010-01-04 3:00,70,8,,2200,73,3,5,8,,7,6,5,,400,2000,7000,,-6,-8,1017.6,1016.7,0.1
113,2010-01-04 4:00,70,4,,700,75,4,6,8,,7,6,5,,300,2000,6000,,-6.2,-7.7,1016.4,1015.5,0.5
113,2010-01-04 5:00,80,6,,700,75,4,6,8,,7,6,5,,300,2000,6000,,-5.5,-6.7,1014.4,1013.5,1.1
113,2010-01-04 6:00,70,10,,350,75,4,6,8,,7,6,5,,200,2000,6000,,-4.9,-6,1013.5,1012.6,0.7
113,2010-01-04 7:00,80,8,,550,75,4,6,8,,7,6,5,,200,2000,6000,,-5.7,-6.9,1013.1,1012.2,2.4
113,2010-01-04 8:00,60,11,,600,75,4,6,8,,7,6,5,,200,2000,6000,,-6.6,-7.8,1012.1,1011.2,0.8
113,2010-01-04 9:00,50,16,,1500,73,4,6,8,,7,6,5,,300,2000,6000,,-6.6,-7.9,1010.7,1009.8,0.1
113,2010-01-04 10:00,60,17,,450,75,3,6,8,,7,6,5,,400,2000,6000,,-6.6,-7.9,1010,1009,0.1
113,2010-01-04 11:00,40,16,,700,73,3,6,8,,7,6,5,,400,2000,6000,,-6.4,-7.6,1009.5,1008.6,0.1
113,2010-01-04 12:00,40,12,,400,73,3,6,8,,7,6,5,,400,2000,6000,,-5.5,-6.7,1009,1008.1,0.1
113,2010-01-04 13:00,360,10,,700,73,4,6,8,,7,6,5,,400,2000,6000,,-5,-6.3,1009.3,1008.4,0.1
113,2010-01-04 14:00,340,9,,3000,71,2,5,7,,7,6,4,,800,2000,7000,,-4.1,-5.4,1009.1,1008.2,0.1
113,2010-01-04 15:00,340,11,,7000,71,1,4,,,7,6,,,1000,2500,,,-4,-5.5,1009.8,1008.9,0
113,2010-01-04 16:00,320,20,,10000,22,2,6,,,7,6,,,900,2500,,,-4.3,-6,1011,1010.1,0
113,2010-01-04 17:00,320,18,,10000,,1,3,,,7,6,,,1500,2500,,,-4.1,-7.2,1012.1,1011.2,
113,2010-01-04 18:00,320,20,,10000,,3,,,,6,,,,2500,,,,-4.8,-8.4,1013.6,1012.7,
113,2010-01-04 19:00,320,17,,10000,,2,,,,6,,,,2500,,,,-5.4,-9.3,1014.7,1013.8,
113,2010-01-04 20:00,310,15,,10000,,2,,,,6,,,,2500,,,,-4.8,-9.4,1015.5,1014.6,
113,2010-01-04 21:00,300,16,,10000,,2,,,,6,,,,3000,,,,-5,-9.2,1016.1,1015.2,
113,2010-01-04 22:00,320,19,,10000,,4,,,,6,,,,2500,,,,-5.1,-9.4,1016.6,1015.7,
113,2010-01-04 23:00,310,19,,10000,,3,,,,6,,,,2500,,,,-5.9,-10.2,1017.2,1016.3,
113,2010-01-05 0:00,320,16,,10000,,3,,,,6,,,,2500,,,,-5.9,-10.2,1017.8,1016.9,
113,2010-01-05 1:00,320,17,,10000,,3,,,,6,,,,2500,,,,-6.7,-11,1018.1,1017.2,
113,2010-01-05 2:00,320,16,,10000,,3,,,,6,,,,2500,,,,-6.8,-10.9,1018.5,1017.6,
113,2010-01-05 3:00,320,16,,10000,,4,,,,6,,,,2000,,,,-7,-10.7,1019.5,1018.6,
