,FlightDate,Origin,CRSDepTime,DepTime,DepDelay,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
3699,2010-01-01,MDW,940,959,19,229,1,17,0,0,0,0
5382,2010-01-02,MDW,1020,1100,40,229,1,0,0,0,0,30
5383,2010-01-03,MDW,1020,1015,-5,229,1,,,,,
5384,2010-01-04,MDW,1020,1017,-3,229,1,,,,,
5385,2010-01-05,MDW,1020,1017,-3,229,1,0,0,15,0,0
5386,2010-01-06,MDW,1020,1039,19,229,1,,,,,
5387,2010-01-07,MDW,1020,,,229,1,,,,,
5388,2010-01-08,MDW,1020,1015,-5,229,1,,,,,
5389,2010-01-09,MDW,940,933,-7,229,1,,,,,
5390,2010-01-10,MDW,1020,1015,-5,229,1,,,,,
5391,2010-01-11,MDW,1020,1038,18,229,1,0,0,1,0,18
5392,2010-01-12,MDW,1020,1004,-16,229,1,,,,,
5393,2010-01-13,MDW,1020,1013,-7,229,1,,,,,
5394,2010-01-14,MDW,1020,1013,-7,229,1,,,,,
5395,2010-01-15,MDW,1020,1015,-5,229,1,,,,,
5396,2010-01-16,MDW,940,937,-3,229,1,,,,,
5397,2010-01-17,MDW,1020,1012,-8,229,1,,,,,
5398,2010-01-18,MDW,1020,1018,-2,229,1,,,,,
5399,2010-01-19,MDW,1020,1021,1,229,1,,,,,
5400,2010-01-20,MDW,1020,1017,-3,229,1,,,,,
5401,2010-01-21,MDW,1020,1017,-3,229,1,,,,,
5402,2010-01-22,MDW,1020,1015,-5,229,1,,,,,
5403,2010-01-23,MDW,940,933,-7,229,1,,,,,
5404,2010-01-24,MDW,1020,1013,-7,229,1,,,,,
5405,2010-01-25,MDW,1020,1012,-8,229,1,,,,,
5406,2010-01-26,MDW,1020,1205,105,229,1,0,0,13,0,105
5407,2010-01-27,MDW,1020,1013,-7,229,1,,,,,
5408,2010-01-28,MDW,1020,1016,-4,229,1,,,,,
5409,2010-01-29,MDW,1020,1017,-3,229,1,,,,,
5410,2010-01-30,MDW,940,939,-1,229,1,,,,,
5411,2010-01-31,MDW,1020,1015,-5,229,1,,,,,
6857,2010-01-01,MDW,1715,1711,-4,229,1,,,,,
6858,2010-01-02,MDW,1620,1619,-1,229,1,,,,,
6859,2010-01-03,MDW,1620,1617,-3,229,1,,,,,
6860,2010-01-04,MDW,1620,1624,4,229,1,,,,,
6861,2010-01-05,MDW,1620,1615,-5,229,1,,,,,
6862,2010-01-06,MDW,1620,1744,84,229,1,0,0,0,0,83
6863,2010-01-07,MDW,1620,,,229,1,,,,,
6864,2010-01-08,MDW,1620,1652,32,229,1,0,0,10,0,32
6865,2010-01-09,MDW,1715,1735,20,229,1,,,,,
6866,2010-01-10,MDW,1620,1608,-12,229,1,,,,,
6867,2010-01-11,MDW,1620,1613,-7,229,1,,,,,
6868,2010-01-12,MDW,1620,1609,-11,229,1,,,,,
6869,2010-01-13,MDW,1620,1615,-5,229,1,,,,,
6870,2010-01-14,MDW,1620,1617,-3,229,1,,,,,
6871,2010-01-15,MDW,1620,1615,-5,229,1,,,,,
6872,2010-01-16,MDW,1715,1705,-10,229,1,,,,,
6873,2010-01-17,MDW,1620,1610,-10,229,1,,,,,
6874,2010-01-18,MDW,1620,1616,-4,229,1,,,,,
6875,2010-01-19,MDW,1620,1615,-5,229,1,0,0,25,0,0
6876,2010-01-20,MDW,1620,,,229,1,,,,,
6877,2010-01-21,MDW,1620,1553,-27,229,1,,,,,
6878,2010-01-22,MDW,1620,1615,-5,229,1,,,,,
6879,2010-01-23,MDW,1715,1702,-13,229,1,0,0,15,0,0
6880,2010-01-24,MDW,1620,1625,5,229,1,0,0,20,0,0
6881,2010-01-25,MDW,1620,1610,-10,229,1,0,0,25,0,0
6882,2010-01-26,MDW,1620,1615,-5,229,1,,,,,
6883,2010-01-27,MDW,1620,1615,-5,229,1,0,0,26,0,0
6884,2010-01-28,MDW,1620,1616,-4,229,1,,,,,
6885,2010-01-29,MDW,1620,1617,-3,229,1,,,,,
6886,2010-01-30,MDW,1715,1704,-11,229,1,,,,,
6887,2010-01-31,MDW,1620,1617,-3,229,1,0,0,23,0,0
8182,2010-01-10,MDW,845,838,-7,229,1,,,,,
8183,2010-01-17,MDW,845,835,-10,229,1,,,,,
8184,2010-01-24,MDW,845,836,-9,229,1,,,,,
8185,2010-01-31,MDW,845,836,-9,229,1,,,,,
15532,2010-01-05,MDW,700,656,-4,229,1,,,,,
17967,2010-01-01,MDW,700,655,-5,229,1,,,,,
17968,2010-01-02,MDW,700,654,-6,229,1,,,,,
17969,2010-01-03,MDW,700,656,-4,229,1,,,,,
17970,2010-01-04,MDW,700,653,-7,229,1,0,0,25,0,0
19872,2010-01-02,MDW,840,847,7,229,1,,,,,
115442,2010-01-01,MDW,1514,1517,3,590,3,,,,,
115579,2010-01-01,MDW,700,656,-4,590,3,,,,,
115846,2010-01-01,MDW,945,943,-2,590,3,,,,,
116121,2010-01-02,MDW,1753,1752,-1,590,3,,,,,
116425,2010-01-02,MDW,1514,1529,15,590,3,,,,,
116565,2010-01-02,MDW,700,653,-7,590,3,,,,,
116848,2010-01-02,MDW,945,940,-5,590,3,,,,,
117145,2010-01-03,MDW,1753,1756,3,590,3,,,,,
117484,2010-01-03,MDW,1514,1512,-2,590,3,,,,,
117632,2010-01-03,MDW,700,659,-1,590,3,,,,,
117946,2010-01-03,MDW,945,958,13,590,3,7,0,3,0,6
118239,2010-01-04,MDW,1753,1750,-3,590,3,,,,,
118606,2010-01-04,MDW,1514,1502,-12,590,3,,,,,
118778,2010-01-04,MDW,700,657,-3,590,3,0,0,15,0,0
119113,2010-01-04,MDW,945,941,-4,590,3,,,,,
119892,2010-01-05,MDW,700,649,-11,590,3,,,,,
119896,2010-01-05,MDW,1511,1509,-2,590,3,,,,,
120135,2010-01-05,MDW,1750,1740,-10,590,3,,,,,
120217,2010-01-05,MDW,945,943,-2,590,3,,,,,
121020,2010-01-06,MDW,700,700,0,590,3,,,,,
121024,2010-01-06,MDW,1511,1503,-8,590,3,,,,,
121273,2010-01-06,MDW,1750,1745,-5,590,3,,,,,
121361,2010-01-06,MDW,945,933,-12,590,3,,,,,
122205,2010-01-07,MDW,700,711,11,590,3,0,11,33,0,0
122209,2010-01-07,MDW,1511,,,590,3,,,,,
122467,2010-01-07,MDW,1750,,,590,3,,,,,
122555,2010-01-07,MDW,945,,,590,3,,,,,
123408,2010-01-08,MDW,700,,,590,3,,,,,
